Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp,RPM_FuelPressure_Ratio,Power_Index,Thermal_Pressure_Index,Mech_Cooling_Balance,Pressure_Coordination,Low_Oil_Pressure_Flag,High_Coolant_Temp_Flag,Low_RPM_Flag,Engine Condition
496,4.70624017,5.249898286,3.803385471,75.03360653,70.54209474,94.4778409410865,2.603949549856,13.436824206646723,426.360759959,1.4465128149999997,0,0,1,0
836,3.96002691,4.928546244,3.705357386,74.39501586,84.09830728,169.62371100415916,4.120264659984,17.063477236844133,752.156362244,1.2231888579999994,0,0,0,1
623,3.055244491,9.494611635,2.08472535,76.86570058,72.92768818,65.6160955064746,5.9151430486050005,7.680947275578297,551.042830961,7.409886285000001,0,0,0,0
675,2.785797256,5.463946609,1.649817197,75.3972787,82.90745278,123.53685219391538,3.688163961075,15.173519614602784,593.228527279,3.8141294119999998,0,0,0,1
1412,2.816021661,4.001409919,1.921521974,83.24601322,71.17692691,352.87473661421535,5.649990805628,17.787917377036482,1341.717572777,2.0798879450000003,0,0,0,1
414,3.928895846,4.468992595,1.740372554,74.46148927,80.17177589,92.63812029628058,1.85016293433,17.939523234937845,336.01674740199996,2.7286200409999997,0,0,1,1
1041,2.618464458,6.031471853,3.444127327,75.87409034,74.213489,172.59440140439398,6.278762198973,12.304354188363666,965.960848131,2.5873445260000003,0,0,0,1
975,5.964634853,4.001450229,2.460978948,80.72766755,80.23123486,243.66104976723992,3.9014139732749995,20.050489138573923,898.272421045,1.5404712809999994,0,0,0,0
1158,2.653551652,4.95609747,1.126614558,76.7039353,82.82152323,233.65110765041587,5.73916087026,16.711002279779056,1076.705413864,3.8294829119999996,0,0,0,0
1357,4.045930591,7.247099906,1.827783292,78.38221418,87.12036286,187.24705677176468,9.834314572441999,12.021393905986114,1272.097784439,5.4193166139999995,0,0,0,1
767,3.675061993,6.603298744,2.240415747,77.22655708,71.87110652,116.15389038062523,5.0647301366479995,10.884105121588421,696.563539726,4.362882997,0,0,0,0
1179,3.308126694,6.162965271,0.736781032,75.67839738,71.43085438,191.30370448633917,7.266136054509,11.590319811296222,1110.140491282,5.426184239,0,0,0,0
956,3.720926295,5.05015851,4.541595924,78.29451725,75.35054442,189.30061405020325,4.8279515355600005,14.920402016446776,879.828785951,0.508562586,0,0,0,1
1057,2.237830373,5.631611519,2.505174678,74.52949593,76.76005885,187.69016995085462,5.952613375583,13.630187787127817,979.972596845,3.126436841,0,0,0,0
854,5.325311975,3.992183491,5.119024389,81.89433038,82.20909442,213.9174871972657,3.409324701314,20.592462415795268,771.997193166,-1.1268408979999998,0,0,0,0
855,3.087465037,5.170975444,2.493160236,86.23559719,81.37270588,165.34565978948444,4.42118400462,15.736402038110244,774.221598921,2.6778152079999997,0,0,0,0
1096,2.480398567,5.149975398,0.635378304,84.09083416,78.01595898,212.81613738664822,5.644373036208,15.1487728509478,1019.8290612830001,4.514597094,0,0,0,1
434,4.442972746,7.090542256,1.524269191,75.6209074,83.18831276,61.20820837795121,3.077295339104,11.732275534618104,353.730390795,5.566273065,0,0,1,1
822,3.310683869,5.627634476,2.058694206,77.85300777,78.11730689,146.06466408913215,4.6259155392719995,13.880995365493305,745.1346827729999,3.5689402699999997,0,0,0,1
569,3.736062689,5.7291344,1.870193636,76.74234076,79.45186304,99.3167496354255,3.2598774736,13.868015447472402,491.41400601300006,3.8589407640000006,0,0,1,1
952,2.406550016,7.418634881,1.443150361,75.18066062,78.45281201,128.325322922274,7.0625404067119995,10.575086591747592,874.510587645,5.97548452,0,0,0,1
973,2.349488362,5.715477129,3.340146388,78.82165897,77.50673439,170.2392076194281,5.561159246517,13.560827387176854,894.502607584,2.375330741,0,0,0,1
554,3.396276209,10.29029668,1.999732845,76.54655937,83.10626682,53.837073784860216,5.70082436072,8.076170069986679,472.290276544,8.290563835,0,0,1,1
811,4.851543187,3.622093695,0.758106736,76.04222077,82.37460138,223.90303213006166,2.9375179866449996,22.74219854437381,732.718835071,2.863986959,0,0,0,1
540,3.081386847,4.375281144,0.982797128,76.41520746,79.3204985,123.42035814931361,2.3626518177599998,18.129193210096467,462.778091219,3.3924840159999996,0,0,1,1
778,3.538907361,5.208443444,1.734623678,73.84982824,73.38530785,149.37255528245825,4.052168999432,14.089654182190671,706.418975833,3.473819766,0,0,0,1
563,2.217111772,6.034854522,2.623956293,78.60389185,77.73104383,93.29124091312949,3.3976230958860003,12.880329549508984,484.8621116489999,3.410898229,0,0,1,1
1033,2.036131924,4.932127866,2.235216629,75.93189644,69.71027153,209.44264496762145,5.094888085578,14.133885431417502,963.0906437650001,2.696911237,0,0,0,1
804,4.572660164,5.992453321,1.535159301,77.05191677,79.80513975,134.16853085816328,4.817932470084,13.31758501889043,727.232361113,4.45729402,0,0,0,1
369,2.746006964,6.989355267,1.830474231,77.18143043,75.69747768,52.794493620503474,2.5790720935229996,10.830379410474158,294.218055053,5.1588810359999995,0,0,1,1
798,5.789154068,6.727879187,1.819378007,77.6019679,79.90657695,118.61075261791467,5.368847591226,11.876916329775455,722.063199111,4.90850118,0,0,0,1
437,3.900054375,6.734776114,2.790180659,78.00837612,78.00277131,64.88699011414515,2.9430971618179997,11.582071054617609,360.107102406,3.944595455,0,0,1,0
1221,4.420860074,5.888118911,5.204646773,76.78706904,90.00672576,207.36638386414566,7.189393190331001,15.286133697217894,1130.209487541,0.683472138,0,0,0,1
946,2.337909938,5.878699254,6.107326234,78.05562273,81.37253081,160.91967796439693,5.561249494284,13.841904284453665,860.858052894,-0.22862698000000048,0,0,0,0
654,2.12681119,6.048616774,2.932469177,75.45248831,85.56178181,108.12371542103021,3.955795370196,14.145654047921589,567.632560203,3.116147597,0,0,0,0
800,3.403040218,5.070474401,2.423549461,75.85764805,75.29601032,157.77585270595137,4.0563795208,14.849865291992641,725.6834804370001,2.6469249400000003,0,0,0,1
1388,2.991451124,4.277201458,1.463618612,77.88694094,82.12003734,324.5104932569831,5.936755623704001,19.199433590407256,1307.4077951719999,2.813582846,0,0,0,1
